Log-ratio,p-value,minFDR,MSU Locus,Gene,Measure,Description
4.270811319,0.002201472,0.025630023,LOC_Os10g36180,LOC_Os10g36180,LOC_Os10g36180,expressed protein
4.265550554,0.00120972,0.018879408,LOC_Os11g26570,LOC_Os11g26570,LOC_Os11g26570,"dehydrin, putative, expressed"
4.000415325,2.93498E-05,0.004992723,LOC_Os01g42860,LOC_Os01g42860,LOC_Os01g42860,"inhibitor I family protein, putative, expressed"
3.984910727,0.004556374,0.039020584,LOC_Os02g36210,LOC_Os02g36210,LOC_Os02g36210,"ent-kaurene synthase, chloroplast precursor, putative, expressed"
3.981083274,0.003253783,0.032006287,LOC_Os11g26760,LOC_Os11g26760,LOC_Os11g26760,"dehydrin, putative, expressed"
3.902705669,3.37229E-05,0.005196305,LOC_Os05g50380,LOC_Os05g50380,LOC_Os05g50380,"glucose-1-phosphate adenylyltransferase large subunit, chloroplast precursor, putative, expressed"
3.816561818,0.015128183,0.084172376,LOC_Os04g33920,LOC_Os04g33920,LOC_Os04g33920,"LTPL102 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
3.778802872,0.000784465,0.015340169,LOC_Os05g33960,LOC_Os05g33960,LOC_Os05g33960,"peptide transporter PTR2, putative, expressed"
3.751945615,0.001445009,0.02055442,LOC_Os05g47730,LOC_Os05g47730,LOC_Os05g47730,"LTPL153 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
3.72614193,6.48647E-05,0.005789999,LOC_Os03g60580,LOC_Os03g60580,LOC_Os03g60580,"actin-depolymerizing factor, putative, expressed"
3.725912809,0.000144818,0.007663156,LOC_Os02g54254,LOC_Os02g54254,LOC_Os02g54254,"saccharopine dehydrogenase, putative, expressed"
3.661709309,0.007302698,0.052274096,LOC_Os01g50910,LOC_Os01g50910,LOC_Os01g50910,"late embryogenesis abundant protein, group 3, putative, expressed"
3.627196766,0.002737357,0.029016256,LOC_Os05g31670,LOC_Os05g31670,LOC_Os05g31670,"AWPM-19-like membrane family protein, putative, expressed"
3.618819296,0.012735318,0.07508902,LOC_Os05g50570,LOC_Os05g50570,LOC_Os05g50570,"OsSCP29 - Putative Serine Carboxypeptidase homologue, expressed"
3.560444534,0.004087505,0.03667641,LOC_Os04g49980,LOC_Os04g49980,LOC_Os04g49980,"late embryogenesis abundant group 1, putative, expressed"
3.560383022,2.59211E-05,0.004878547,LOC_Os02g28220,LOC_Os02g28220,LOC_Os02g28220,"transferase family protein, putative, expressed"
3.541199207,6.0929E-05,0.005789999,LOC_Os08g02030,LOC_Os08g02030,LOC_Os08g02030,"transferase family protein, putative, expressed"
3.491738796,0.00522422,0.042240631,LOC_Os02g36140,LOC_Os02g36140,LOC_Os02g36140,"terpene synthase, putative, expressed"
3.432520688,9.42158E-06,0.004079812,LOC_Os10g09240,LOC_Os10g09240,LOC_Os10g09240,expressed protein
3.415160418,2.55822E-05,0.004876283,LOC_Os03g57200,LOC_Os03g57200,LOC_Os03g57200,"glutathione S-transferase, putative, expressed"
3.378679991,5.34441E-06,0.003915718,LOC_Os06g45710,LOC_Os06g45710,LOC_Os06g45710,"phosphoglycerate kinase protein, putative, expressed"
3.365726352,0.000230511,0.009169826,LOC_Os08g01370,LOC_Os08g01370,LOC_Os08g01370,expressed protein
3.358013868,0.001335151,0.019803441,LOC_Os07g23570,LOC_Os07g23570,LOC_Os07g23570,"cytochrome P450 72A1, putative, expressed"
3.347653627,0.011577319,0.070650638,LOC_Os11g31540,LOC_Os11g31540,LOC_Os11g31540,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
3.331579447,0.007048142,0.051054566,LOC_Os07g46846,LOC_Os07g46846,LOC_Os07g46846,"sex determination protein tasselseed-2, putative, expressed"
3.297053099,0.003444161,0.033072644,LOC_Os02g36190,LOC_Os02g36190,LOC_Os02g36190,"cytochrome P450, putative, expressed"
3.282798767,0.000351687,0.010751215,LOC_Os12g16720,LOC_Os12g16720,LOC_Os12g16720,"cytochrome P450 71A1, putative, expressed"
3.280544281,4.75072E-06,0.003915718,LOC_Os01g32780,LOC_Os01g32780,LOC_Os01g32780,"universal stress protein domain containing protein, putative, expressed"
3.263006449,0.000632184,0.014063736,LOC_Os09g15670,LOC_Os09g15670,LOC_Os09g15670,"protein phosphatase 2C, putative, expressed"
3.252703905,0.000182435,0.008313563,LOC_Os06g48300,LOC_Os06g48300,LOC_Os06g48300,"protein phosphatase 2C, putative, expressed"
3.206924438,1.07952E-08,0.000226224,LOC_Os12g29400,LOC_Os12g29400,LOC_Os12g29400,"GRAM domain containing protein, expressed"
3.195712924,8.86154E-05,0.006427654,LOC_Os06g48210,LOC_Os06g48210,LOC_Os06g48210,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
3.191818971,0.00024435,0.009360851,LOC_Os11g32890,LOC_Os11g32890,LOC_Os11g32890,expressed protein
3.186236829,0.005355388,0.043007284,LOC_Os03g18490,LOC_Os03g18490,LOC_Os03g18490,"RPGR, putative, expressed"
3.173592448,0.000383392,0.011104388,LOC_Os02g54140,LOC_Os02g54140,LOC_Os02g54140,"hsp20/alpha crystallin family protein, putative, expressed"
3.157425463,0.010178242,0.064782154,LOC_Os08g04540,LOC_Os08g04540,LOC_Os08g04540,"decarboxylase, putative, expressed"
3.136485577,0.005631823,0.044435424,LOC_Os07g23640,LOC_Os07g23640,LOC_Os07g23640,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
3.134498179,0.000476025,0.012189604,LOC_Os05g49730,LOC_Os05g49730,LOC_Os05g49730,"protein phosphatase 2C, putative, expressed"
3.13361311,0.006306212,0.047777646,LOC_Os07g03710,LOC_Os07g03710,LOC_Os07g03710,"SCP-like extracellular protein, expressed"
3.126763031,0.001893227,0.023665053,LOC_Os12g08700,LOC_Os12g08700,LOC_Os12g08700,expressed protein
3.090714037,0.004119087,0.036817913,LOC_Os03g03810,LOC_Os03g03810,LOC_Os03g03810,"DEF8 - Defensin and Defensin-like DEFL family, expressed"
3.075482368,0.001737353,0.02267295,LOC_Os06g35960,LOC_Os06g35960,LOC_Os06g35960,"HSF-type DNA-binding domain containing protein, expressed"
3.061651468,0.002553493,0.027994247,LOC_Os03g48750,LOC_Os03g48750,LOC_Os03g48750,"Cupin domain containing protein, expressed"
3.056020975,2.8874E-05,0.004968623,LOC_Os05g39770,LOC_Os05g39770,LOC_Os05g39770,"aminotransferase, putative, expressed"
3.055703878,0.000389739,0.011173104,LOC_Os01g74490,LOC_Os01g74490,LOC_Os01g74490,"heavy metal-associated domain containing protein, expressed"
3.052281648,0.000226585,0.009113869,LOC_Os04g45520,LOC_Os04g45520,LOC_Os04g45520,"integral membrane protein, putative, expressed"
3.0419873,9.32077E-05,0.006558029,LOC_Os03g25790,LOC_Os03g25790,LOC_Os03g25790,"glycosyl hydrolases family 17 protein, expressed"
3.038085222,0.002488089,0.027595031,LOC_Os01g45659,LOC_Os01g45659,LOC_Os01g45659,expressed protein
3.030578464,0.004786426,0.040129761,LOC_Os03g61270,LOC_Os03g61270,LOC_Os03g61270,"OsMan04 - Endo-Beta-Mannanase, expressed"
3.024812639,0.013550947,0.078380804,LOC_Os07g05940,LOC_Os07g05940,LOC_Os07g05940,"9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative, expressed"
3.019862652,0.001160545,0.018593563,LOC_Os07g07930,LOC_Os07g07930,LOC_Os07g07930,"LTPL78 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
3.019364119,0.000423794,0.011563844,LOC_Os04g38680,LOC_Os04g38680,LOC_Os04g38680,"transmembrane amino acid transporter protein, putative, expressed"
3.016841292,0.000233121,0.009215131,LOC_Os07g48460,LOC_Os07g48460,LOC_Os07g48460,"stress responsive protein, putative, expressed"
3.014920712,3.49892E-05,0.005218749,LOC_Os04g43200,LOC_Os04g43200,LOC_Os04g43200,"caleosin related protein, putative, expressed"
3.008659363,0.000230602,0.009169826,LOC_Os01g71624,LOC_Os01g71624,LOC_Os01g71624,expressed protein
2.992989063,0.011241669,0.06933934,LOC_Os01g03320,LOC_Os01g03320,LOC_Os01g03320,"BBTI2 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
2.991780996,0.001518434,0.021102604,LOC_Os07g34520,LOC_Os07g34520,LOC_Os07g34520,"isocitrate lyase, putative, expressed"
2.990335226,0.000665173,0.014363068,LOC_Os06g23350,LOC_Os06g23350,LOC_Os06g23350,"late embryogenesis abundant protein D-34, putative, expressed"
2.988321185,0.007503915,0.05324261,LOC_Os02g36070,LOC_Os02g36070,LOC_Os02g36070,"cytochrome P450, putative, expressed"
2.971974611,0.002498078,0.027658117,LOC_Os08g39730,LOC_Os08g39730,LOC_Os08g39730,"cytochrome P450, putative, expressed"
2.969744086,0.008969014,0.059858173,LOC_Os10g30390,LOC_Os10g30390,LOC_Os10g30390,"cytochrome P450, putative, expressed"
2.94545567,0.003530066,0.033610203,LOC_Os08g04560,LOC_Os08g04560,LOC_Os08g04560,"decarboxylase, putative, expressed"
2.928495884,0.001217076,0.018934709,LOC_Os01g04380,LOC_Os01g04380,LOC_Os01g04380,"hsp20/alpha crystallin family protein, putative, expressed"
2.918382168,0.001403719,0.020320762,LOC_Os01g12520,LOC_Os01g12520,LOC_Os01g12520,"mitochondrial carrier protein, putative, expressed"
2.909751177,2.16833E-05,0.004779519,LOC_Os03g14050,LOC_Os03g14050,LOC_Os03g14050,"thaumatin-like protein 1 precursor, putative, expressed"
2.90054059,0.000530524,0.012810697,LOC_Os01g58320,LOC_Os01g58320,LOC_Os01g58320,expressed protein
2.898587942,2.52905E-05,0.004876283,LOC_Os01g08860,LOC_Os01g08860,LOC_Os01g08860,"hsp20/alpha crystallin family protein, putative, expressed"
2.896789551,0.000507383,0.012561646,LOC_Os11g37950,LOC_Os11g37950,LOC_Os11g37950,"WIP3 - Wound-induced protein precursor, expressed"
2.887989163,0.001181509,0.018744505,LOC_Os05g03130,LOC_Os05g03130,LOC_Os05g03130,"OsRCI2-7 - Putative low temperature and salt responsive protein, expressed"
2.879605532,0.005128283,0.041812543,LOC_Os06g37300,LOC_Os06g37300,LOC_Os06g37300,"cytochrome P450, putative, expressed"
2.875425354,0.000679806,0.014544164,LOC_Os04g52110,LOC_Os04g52110,LOC_Os04g52110,"late embryogenesis abundant protein, group 3, putative, expressed"
2.8752141,0.000361564,0.01084802,LOC_Os03g17790,LOC_Os03g17790,LOC_Os03g17790,"OsRCI2-5 - Putative low temperature and salt responsive protein, expressed"
2.875109375,0.007200404,0.051763866,LOC_Os12g42910,LOC_Os12g42910,LOC_Os12g42910,"sodium/calcium exchanger protein, putative, expressed"
2.870091677,0.00329413,0.032272927,LOC_Os01g28840,LOC_Os01g28840,LOC_Os01g28840,"C4-dicarboxylate transporter/malic acid transport protein, expressed"
2.852257013,0.00021458,0.008890523,LOC_Os06g11980,LOC_Os06g11980,LOC_Os06g11980,"DUF581 domain containing protein, expressed"
2.84757185,3.64937E-05,0.005281121,LOC_Os05g38530,LOC_Os05g38530,LOC_Os05g38530,"DnaK family protein, putative, expressed"
2.842976093,0.000142369,0.00761184,LOC_Os07g10840,LOC_Os07g10840,LOC_Os07g10840,"uncharacterized glycosyltransferase, putative, expressed"
2.841970801,0.009537377,0.062060325,LOC_Os12g11550,LOC_Os12g11550,LOC_Os12g11550,hypothetical protein
2.833343506,0.005854803,0.045539491,LOC_Os12g36880,LOC_Os12g36880,LOC_Os12g36880,"pathogenesis-related Bet v I family protein, putative, expressed"
2.829068184,0.004970126,0.041102589,LOC_Os01g28450,LOC_Os01g28450,LOC_Os01g28450,"SCP-like extracellular protein, expressed"
2.826543808,0.001490736,0.020904859,LOC_Os05g07810,LOC_Os05g07810,LOC_Os05g07810,"universal stress protein domain containing protein, putative, expressed"
2.818463922,0.007858765,0.054960213,LOC_Os10g23240,LOC_Os10g23240,LOC_Os10g23240,expressed protein
2.81677556,8.63506E-05,0.006425944,LOC_Os06g21820,LOC_Os06g21820,LOC_Os06g21820,"jasmonate O-methyltransferase, putative, expressed"
2.811537981,0.00531774,0.042795146,LOC_Os04g03210,LOC_Os04g03210,LOC_Os04g03210,"receptor kinase, putative, expressed"
2.810365677,0.000202231,0.008647644,LOC_Os05g49940,LOC_Os05g49940,LOC_Os05g49940,expressed protein
2.80959034,0.000211399,0.008890523,LOC_Os10g37340,LOC_Os10g37340,LOC_Os10g37340,"cystathionine gamma-synthase, putative, expressed"
2.808324814,0.003341965,0.032491911,LOC_Os03g18850,LOC_Os03g18850,LOC_Os03g18850,"pathogenesis-related Bet v I family protein, putative, expressed"
2.806563497,9.01808E-05,0.006439144,LOC_Os01g43851,LOC_Os01g43851,LOC_Os01g43851,"cytochrome P450 72A1, putative, expressed"
2.803285599,0.00121128,0.018892021,LOC_Os03g08320,LOC_Os03g08320,LOC_Os03g08320,"ZIM domain containing protein, putative, expressed"
2.792592287,0.001013958,0.017480601,LOC_Os01g54030,LOC_Os01g54030,LOC_Os01g54030,"NADP-dependent malic enzyme, putative, expressed"
2.780891657,0.001401843,0.020320575,LOC_Os09g34230,LOC_Os09g34230,LOC_Os09g34230,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed"
2.776900291,0.000303306,0.01025174,LOC_Os03g15960,LOC_Os03g15960,LOC_Os03g15960,"hsp20/alpha crystallin family protein, putative, expressed"
2.765494823,0.00157491,0.021542957,LOC_Os11g47500,LOC_Os11g47500,LOC_Os11g47500,"glycosyl hydrolase, putative, expressed"
2.759685516,0.000406071,0.011306168,LOC_Os04g01740,LOC_Os04g01740,LOC_Os04g01740,"heat shock protein, putative, expressed"
2.757319674,0.002564021,0.028043331,LOC_Os02g26720,LOC_Os02g26720,LOC_Os02g26720,"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed"
2.757262707,0.000237155,0.009272043,LOC_Os12g01530,LOC_Os12g01530,LOC_Os12g01530,"ferritin-1, chloroplast precursor, putative, expressed"
2.754513264,1.1407E-05,0.004193319,LOC_Os01g49720,LOC_Os01g49720,LOC_Os01g49720,"glutathione S-transferase, putative, expressed"
2.731854439,0.00191579,0.023798039,LOC_Os07g04560,LOC_Os07g04560,LOC_Os07g04560,"no apical meristem protein, putative, expressed"
2.726425886,0.001501054,0.020991182,LOC_Os04g27020,LOC_Os04g27020,LOC_Os04g27020,"cytochrome P450, putative, expressed"
2.723375797,0.001847635,0.023366957,LOC_Os01g06740,LOC_Os01g06740,LOC_Os01g06740,"ribosome inactivating protein, putative, expressed"
2.699372768,0.000126203,0.007235862,LOC_Os04g58090,LOC_Os04g58090,LOC_Os04g58090,"harpin-induced protein 1 domain containing protein, expressed"
2.667310715,0.004612396,0.039264088,LOC_Os01g24710,LOC_Os01g24710,LOC_Os01g24710,"jacalin-like lectin domain containing protein, expressed"
2.657002751,0.000500294,0.012504268,LOC_Os05g05930,LOC_Os05g05930,LOC_Os05g05930,"peripheral-type benzodiazepine receptor, putative, expressed"
2.653609157,0.003777902,0.035030847,LOC_Os05g45100,LOC_Os05g45100,LOC_Os05g45100,"anthocyanidin 5,3-O-glucosyltransferase, putative, expressed"
2.64350915,0.000965874,0.017102542,LOC_Os02g45780,LOC_Os02g45780,LOC_Os02g45780,"zinc finger, C3HC4 type domain containing protein, expressed"
2.635833025,4.51934E-05,0.005506242,LOC_Os04g53210,LOC_Os04g53210,LOC_Os04g53210,"hydroxyacid oxidase 1, putative, expressed"
2.632484674,0.011806944,0.071613983,LOC_Os11g42200,LOC_Os11g42200,LOC_Os11g42200,"laccase precursor protein, putative, expressed"
2.629196703,0.001005394,0.017419622,LOC_Os06g30370,LOC_Os06g30370,LOC_Os06g30370,"osMFT1 MFT-Like1 homologous to Mother of FT and TFL1 gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed"
2.625689745,0.000868923,0.016224416,LOC_Os07g39740,LOC_Os07g39740,LOC_Os07g39740,"GDSL-like lipase/acylhydrolase, putative, expressed"
2.6108284,0.000164699,0.008012831,LOC_Os11g01530,LOC_Os11g01530,LOC_Os11g01530,"ferritin-1, chloroplast precursor, putative, expressed"
2.609939098,0.010339562,0.065424382,LOC_Os12g36850,LOC_Os12g36850,LOC_Os12g36850,"pathogenesis-related Bet v I family protein, putative, expressed"
2.606748581,0.003443993,0.033072644,LOC_Os11g42500,LOC_Os11g42500,LOC_Os11g42500,"dirigent, putative, expressed"
2.60657239,0.007140199,0.051485047,LOC_Os05g11620,LOC_Os05g11620,LOC_Os05g11620,expressed protein
2.606082439,0.00052271,0.012735152,LOC_Os11g33270,LOC_Os11g33270,LOC_Os11g33270,"glycosyl hydrolases family 16, putative, expressed"
2.604898691,0.00110645,0.018253475,LOC_Os09g20220,LOC_Os09g20220,LOC_Os09g20220,"glutathione S-transferase, putative, expressed"
2.599407673,0.000477367,0.012207086,LOC_Os10g35070,LOC_Os10g35070,LOC_Os10g35070,"alpha-galactosidase precursor, putative, expressed"
2.592390776,7.51387E-05,0.006091325,LOC_Os02g51930,LOC_Os02g51930,LOC_Os02g51930,"cytokinin-O-glucosyltransferase 2, putative, expressed"
2.580717206,0.002255535,0.025985156,LOC_Os01g71760,LOC_Os01g71760,LOC_Os01g71760,"amino acid permease family protein, putative, expressed"
2.5771842,0.000288967,0.010057133,LOC_Os03g12820,LOC_Os03g12820,LOC_Os03g12820,"ATP8, putative, expressed"
2.573782563,0.000684032,0.01456389,LOC_Os04g37570,LOC_Os04g37570,LOC_Os04g37570,"aspartic proteinase nepenthesin precursor, putative, expressed"
2.556537628,0.001422584,0.02042595,LOC_Os11g03300,LOC_Os11g03300,LOC_Os11g03300,"NAC domain transcription factor, putative, expressed"
2.534426928,0.000935397,0.016926913,LOC_Os03g48310,LOC_Os03g48310,LOC_Os03g48310,"plasma membrane ATPase, putative, expressed"
2.533811808,0.001642876,0.022041001,LOC_Os07g29750,LOC_Os07g29750,LOC_Os07g29750,"glycosyl hydrolases family 16, putative, expressed"
2.53351903,0.012472444,0.074066595,LOC_Os03g27980,LOC_Os03g27980,LOC_Os03g27980,"glucan endo-1,3-beta-glucosidase precursor, putative, expressed"
2.525829732,0.001434515,0.020524838,LOC_Os01g39020,LOC_Os01g39020,LOC_Os01g39020,"HSF-type DNA-binding domain containing protein, expressed"
2.519781046,0.00041163,0.011384161,LOC_Os06g12210,LOC_Os06g12210,LOC_Os06g12210,"helix-loop-helix DNA-binding domain containing protein, expressed"
2.518839777,0.012932795,0.075923569,LOC_Os10g21630,LOC_Os10g21630,LOC_Os10g21630,hypothetical protein
2.516582012,0.000249181,0.009408705,LOC_Os06g06560,LOC_Os06g06560,LOC_Os06g06560,"starch synthase, putative, expressed"
2.505525529,0.002657256,0.028563973,LOC_Os03g50490,LOC_Os03g50490,LOC_Os03g50490,"glutamine synthetase, catalytic domain containing protein, expressed"
2.501025677,0.008599099,0.058280307,LOC_Os01g20206,LOC_Os01g20206,LOC_Os01g20206,"methyltransferase, putative, expressed"
2.497675896,0.007400455,0.052740666,LOC_Os02g36280,LOC_Os02g36280,LOC_Os02g36280,"cytochrome P450, putative, expressed"
2.491780519,0.00158863,0.021630183,LOC_Os03g17870,LOC_Os03g17870,LOC_Os03g17870,"metallothionein, putative, expressed"
2.489236355,0.000503908,0.012542243,LOC_Os01g40260,LOC_Os01g40260,LOC_Os01g40260,"WRKY77, expressed"
2.487668753,4.81478E-06,0.003915718,LOC_Os02g53410,LOC_Os02g53410,LOC_Os02g53410,expressed protein
2.483768821,0.004289838,0.037622031,LOC_Os04g03850,LOC_Os04g03850,LOC_Os04g03850,"OsSub39 - Putative Subtilisin homologue, expressed"
2.482085139,0.000671707,0.01444237,LOC_Os07g44850,LOC_Os07g44850,LOC_Os07g44850,"gibberellin receptor GID1L2, putative, expressed"
2.479928613,0.000384436,0.011104388,LOC_Os02g53320,LOC_Os02g53320,LOC_Os02g53320,"universal stress protein domain containing protein, putative, expressed"
2.476960421,0.000285606,0.010000252,LOC_Os06g13720,LOC_Os06g13720,LOC_Os06g13720,"dehydrogenase E1 component domain containing protein, expressed"
2.466952324,0.000688872,0.014646852,LOC_Os03g48780,LOC_Os03g48780,LOC_Os03g48780,"Cupin domain containing protein, expressed"
2.458043575,0.001537258,0.021200907,LOC_Os01g27340,LOC_Os01g27340,LOC_Os01g27340,"glutathione S-transferase, putative, expressed"
2.455792844,0.000415395,0.01143535,LOC_Os03g25490,LOC_Os03g25490,LOC_Os03g25490,"cytochrome P450 72A1, putative, expressed"
2.451204181,6.84681E-05,0.005904717,LOC_Os09g27260,LOC_Os09g27260,LOC_Os09g27260,"plant viral response family protein, putative, expressed"
2.440688848,0.000391324,0.011173104,LOC_Os01g58194,LOC_Os01g58194,LOC_Os01g58194,"protein disulfide isomerase, putative, expressed"
2.432949662,8.75339E-05,0.006427654,LOC_Os10g36980,LOC_Os10g36980,LOC_Os10g36980,"transposon protein, putative, unclassified, expressed"
2.425641954,0.0018214,0.023182061,LOC_Os02g57840,LOC_Os02g57840,LOC_Os02g57840,"remorin C-terminal domain containing protein, putative, expressed"
2.415371895,0.000380491,0.01107441,LOC_Os07g46280,LOC_Os07g46280,LOC_Os07g46280,"Os7bglu26 - beta-mannosidase/glucosidase/exoglucanase, expressed"
2.4089185,0.000160214,0.007948008,LOC_Os01g12580,LOC_Os01g12580,LOC_Os01g12580,"late embryogenesis abundant protein, putative, expressed"
2.405722857,3.16267E-05,0.005076223,LOC_Os05g47700,LOC_Os05g47700,LOC_Os05g47700,"LTPL152 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
2.401376724,3.10651E-06,0.003915718,LOC_Os01g45640,LOC_Os01g45640,LOC_Os01g45640,"tat pathway signal sequence family protein, expressed"
2.396233559,8.1708E-05,0.006283574,LOC_Os10g34930,LOC_Os10g34930,LOC_Os10g34930,"secretory protein, putative, expressed"
2.387257695,0.018689863,0.097018767,LOC_Os01g13610,LOC_Os01g13610,LOC_Os01g13610,"isoflavone reductase homolog IRL, putative, expressed"
2.385184526,0.004816762,0.040272833,LOC_Os02g48570,LOC_Os02g48570,LOC_Os02g48570,"peptide transporter PTR2, putative, expressed"
2.383230686,0.000101918,0.006648163,LOC_Os06g13560,LOC_Os06g13560,LOC_Os06g13560,"SAM dependent carboxyl methyltransferase, putative, expressed"
2.380381346,6.40633E-09,0.000226224,LOC_Os05g49300,LOC_Os05g49300,LOC_Os05g49300,"iron-sulfur cluster assembly enzyme ISCU, mitochondrial precursor, putative, expressed"
2.370997667,0.000103889,0.0066977,LOC_Os01g45110,LOC_Os01g45110,LOC_Os01g45110,"anthocyanin 3-O-beta-glucosyltransferase, putative, expressed"
2.366475865,0.003019473,0.030761343,LOC_Os12g27830,LOC_Os12g27830,LOC_Os12g27830,"dehydrogenase/reductase, putative, expressed"
2.359857559,0.007810309,0.054693175,LOC_Os12g15530,LOC_Os12g15530,LOC_Os12g15530,"retrotransposon protein, putative, unclassified, expressed"
2.357576072,0.00532132,0.042815736,LOC_Os12g11980,LOC_Os12g11980,LOC_Os12g11980,expressed protein
2.349097632,0.001378881,0.02014085,LOC_Os02g56700,LOC_Os02g56700,LOC_Os02g56700,"dehydrogenase, putative, expressed"
2.346627325,0.005088087,0.04161993,LOC_Os03g04080,LOC_Os03g04080,LOC_Os03g04080,expressed protein
2.346220031,0.00076781,0.015208155,LOC_Os04g33820,LOC_Os04g33820,LOC_Os04g33820,"OsFBX132 - F-box domain containing protein, expressed"
2.345255136,0.001697192,0.022425187,LOC_Os07g09190,LOC_Os07g09190,LOC_Os07g09190,"transketolase, putative, expressed"
2.344042033,0.006123001,0.046898251,LOC_Os07g33280,LOC_Os07g33280,LOC_Os07g33280,expressed protein
2.337320566,0.002710111,0.028917053,LOC_Os02g04780,LOC_Os02g04780,LOC_Os02g04780,expressed protein
2.33534193,0.002225238,0.025820651,LOC_Os10g13850,LOC_Os10g13850,LOC_Os10g13850,"POEI17 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
2.329063416,0.00037333,0.0109942,LOC_Os12g43450,LOC_Os12g43450,LOC_Os12g43450,"thaumatin family domain containing protein, expressed"
2.326853275,0.000374493,0.010999113,LOC_Os05g41460,LOC_Os05g41460,LOC_Os05g41460,"cysteine proteinase inhibitor precursor protein, putative, expressed"
2.325027704,0.012228736,0.073093381,LOC_Os03g57640,LOC_Os03g57640,LOC_Os03g57640,"gibberellin receptor GID1L2, putative, expressed"
2.32004714,0.004980239,0.041145629,LOC_Os12g12880,LOC_Os12g12880,LOC_Os12g12880,expressed protein
2.319547415,4.0988E-05,0.00533286,LOC_Os04g40990,LOC_Os04g40990,LOC_Os04g40990,"malate synthase, glyoxysomal, putative, expressed"
2.317195892,4.2782E-06,0.003915718,LOC_Os05g51670,LOC_Os05g51670,LOC_Os05g51670,"NAD dependent epimerase/dehydratase family protein, putative, expressed"
2.315967321,9.6049E-05,0.006603406,LOC_Os02g26470,LOC_Os02g26470,LOC_Os02g26470,expressed protein
2.309456095,0.003283289,0.032226984,LOC_Os06g19630,LOC_Os06g19630,LOC_Os06g19630,"steroid nuclear receptor, ligand-binding, putative, expressed"
2.307016969,0.009963512,0.063851794,LOC_Os11g02100,LOC_Os11g02100,LOC_Os11g02100,"peroxidase precursor, putative, expressed"
