Log-ratio,p-value,minFDR,Ensembl Gene,Gene,Measure,Description
3.539999947,3.02691E-05,0.005837848,Zm00001d016256,Zm00001d016256,Zm00001d016256,Meiosis 5
3.521774292,0.006944181,0.058125366,Zm00001d036871,Zm00001d036871,Zm00001d036871,40S ribosomal protein S21
3.520399809,0.006772064,0.057346424,Zm00001d010540,Zm00001d010540,Zm00001d010540,Ras-related protein RABE1c
3.509113073,1.24539E-05,0.004513969,Zm00001d033872,Zm00001d033872,Zm00001d033872,Peptidase%252C M50 family
3.464823246,7.27378E-05,0.007681223,Zm00001d039914,Zm00001d039914,Zm00001d039914,Metallothionein-like protein type 2
3.396198332,8.56444E-06,0.004053494,Zm00001d052213,Zm00001d052213,Zm00001d052213,Probable pectin methyltransferase QUA2
3.380136728,0.000106289,0.008274588,Zm00001d018298,Zm00001d018298,Zm00001d018298,17.4 kDa class III heat shock protein
3.354706049,5.28974E-05,0.006910761,Zm00001d049267,Zm00001d049267,Zm00001d049267,Acyl carrier protein
3.351876497,2.49429E-05,0.005558621,Zm00001d012420,Zm00001d012420,Zm00001d012420,Heat shock 70 kDa protein
3.298024654,0.001738603,0.027023548,Zm00001d044078,Zm00001d044078,Zm00001d044078,Little protein 1
3.287223339,0.000365662,0.013277006,Zm00001d051420,Zm00001d051420,Zm00001d051420,dehydrin3
3.265201569,0.000664682,0.017648861,Zm00001d002426,Zm00001d002426,Zm00001d002426,Thylakoid lumenal 29 kDa protein chloroplastic
3.213116884,0.000946694,0.020265535,Zm00001d014947,Zm00001d014947,Zm00001d014947,Beta-fructofuranosidase 1%253B Invertase
3.211757183,4.35711E-05,0.006514784,Zm00001d027619,Zm00001d027619,Zm00001d027619,beta amylase2
3.19813633,3.27613E-07,0.002147178,Zm00001d011642,Zm00001d011642,Zm00001d011642,Phosphoethanolamine N-methyltransferase 3
3.192903042,3.03194E-05,0.005837848,Zm00001d020133,Zm00001d020133,Zm00001d020133,BTB/POZ domain-containing protein
3.187012017,1.03169E-05,0.004283912,Zm00001d047799,Zm00001d047799,Zm00001d047799,Heat shock 70 kDa protein 5
3.175637364,0.001065256,0.021274817,Zm00001d022630,Zm00001d022630,Zm00001d022630,knotted1 induced1
3.1607126,0.001752198,0.027095331,Zm00001d035000,Zm00001d035000,Zm00001d035000,seed maturation protein
3.146541119,3.33816E-05,0.005950918,Zm00001d020345,Zm00001d020345,Zm00001d020345,Nucleobase-ascorbate transporter 6
3.145743847,0.003203889,0.037165116,Zm00001d000429,Zm00001d000429,Zm00001d000429,Transmembrane 9 superfamily member 9
3.145078659,1.49524E-06,0.003458748,Zm00001d002940,Zm00001d002940,Zm00001d002940,Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D
3.142407894,0.000925672,0.020085026,Zm00001d019163,Zm00001d019163,Zm00001d019163,Stachyose synthase
3.139634848,7.2681E-05,0.007681223,Zm00001d026599,Zm00001d026599,Zm00001d026599,light harvesting chlorophyll a/b binding protein6
3.136374801,8.33507E-05,0.007879049,Zm00001d043730,Zm00001d043730,Zm00001d043730,Dehydrin Xero 1
3.135833383,0.005754175,0.052269716,Zm00001d039936,Zm00001d039936,Zm00001d039936,17.4 kDa class I heat shock protein
3.093067944,0.000166579,0.009633175,Zm00001d051080,Zm00001d051080,Zm00001d051080,Adenine phosphoribosyltransferase 2
3.054889232,5.03056E-06,0.0036206,Zm00001d044748,Zm00001d044748,Zm00001d044748,Pyruvate dehydrogenase E1 component subunit alpha-1 mitochondrial
3.017297745,9.40488E-06,0.004132896,Zm00001d029366,Zm00001d029366,Zm00001d029366,Transducin/WD40 repeat-like superfamily protein
3.016872227,1.44629E-06,0.003458748,Zm00001d037232,Zm00001d037232,Zm00001d037232,ATP-dependent zinc metalloprotease FTSH 6 chloroplastic
2.975652566,1.64092E-05,0.005002127,Zm00001d002754,Zm00001d002754,Zm00001d002754,Homeobox-leucine zipper protein ATHB-4
2.972328663,8.15678E-06,0.004053494,Zm00001d009146,Zm00001d009146,Zm00001d009146,S-adenosylmethionine synthase
2.970525265,2.56185E-05,0.005558621,Zm00001d009631,Zm00001d009631,Zm00001d009631,CTP synthase family protein
2.969182819,2.77096E-05,0.005702438,Zm00001d010380,Zm00001d010380,Zm00001d010380,Zinc finger CCCH domain-containing protein 23
2.948596954,3.80091E-06,0.0036206,Zm00001d010056,Zm00001d010056,Zm00001d010056,proline responding1
2.90513438,1.86077E-05,0.005271224,Zm00001d031325,Zm00001d031325,Zm00001d031325,25.3 kDa heat shock protein chloroplastic
2.890051365,0.001279832,0.023342249,Zm00001d049732,Zm00001d049732,Zm00001d049732,Ferredoxin-1
2.854355812,0.000829084,0.019291655,Zm00001d038181,Zm00001d038181,Zm00001d038181,Protein NRT1/ PTR FAMILY 3.1
2.828840733,6.30107E-05,0.00745962,Zm00001d004564,Zm00001d004564,Zm00001d004564,Aconitate hydratase 3 mitochondrial
2.815698802,0.00179349,0.027347203,Zm00001d013918,Zm00001d013918,Zm00001d013918,Thylakoid lumenal 17.4 kDa protein chloroplastic
2.804995596,2.86814E-05,0.005783926,Zm00001d037334,Zm00001d037334,Zm00001d037334,Odorant 1 protein%253B Putative MYB DNA-binding domain superfamily protein
2.787572384,0.006194357,0.054432824,Zm00001d029778,Zm00001d029778,Zm00001d029778,metallothionein2
2.781936407,0.005868085,0.052786581,Zm00001d013281,Zm00001d013281,Zm00001d013281,Expressed protein%3B  protein
2.776933432,2.90247E-06,0.0036206,Zm00001d028574,Zm00001d028574,Zm00001d028574,Protein phosphatase 2C 37
2.770243168,0.000108673,0.008274588,Zm00001d033797,Zm00001d033797,Zm00001d033797,alpha/beta-Hydrolases superfamily protein
2.766631007,9.78385E-05,0.008077398,Zm00001d049510,Zm00001d049510,Zm00001d049510,Putative cellulose synthase-like family protein
2.730480865,5.00925E-05,0.006788415,Zm00001d003422,Zm00001d003422,Zm00001d003422,Amino acid/polyamine transporter II
2.728479862,1.8641E-07,0.002147178,Zm00001d040190,Zm00001d040190,Zm00001d040190,hydroxyproline-rich glycoprotein family protein
2.72683239,5.69602E-05,0.007202424,Zm00001d021763,Zm00001d021763,Zm00001d021763,photosystem II subunit29
2.722589254,0.00022181,0.010621486,Zm00001d031696,Zm00001d031696,Zm00001d031696,Peptidyl-prolyl cis-trans isomerase FKBP16-3 chloroplastic
2.713999033,0.00075368,0.018621336,Zm00001d025847,Zm00001d025847,Zm00001d025847,Beta-glucosidase 47
2.703021288,0.00897176,0.068096022,Zm00001d004677,Zm00001d004677,Zm00001d004677,Eukaryotic initiation factor 5C CG2922-PF%252C isoform F
2.702060342,2.07422E-07,0.002147178,Zm00001d007752,Zm00001d007752,Zm00001d007752,hAT transposon superfamily protein
2.699569106,0.001979128,0.028858256,Zm00001d051496,Zm00001d051496,Zm00001d051496,ARM repeat superfamily protein
2.696055099,0.000886071,0.019753721,Zm00001d041796,Zm00001d041796,Zm00001d041796,Expressed protein%3B  protein
2.691551208,3.14138E-06,0.0036206,Zm00001d048634,Zm00001d048634,Zm00001d048634,DIBOA-glucoside dioxygenase BX6
2.673522353,0.002455804,0.032241371,Zm00001d048469,Zm00001d048469,Zm00001d048469,hydroxylase5
2.659909487,0.000127313,0.008616985,Zm00001d023979,Zm00001d023979,Zm00001d023979,Diacylglycerol kinase 2
2.655204296,0.001276382,0.023312801,Zm00001d029049,Zm00001d029049,Zm00001d029049,Photosystem II repair protein PSB27-H1 chloroplastic
2.649096966,0.000112585,0.008290789,Zm00001d017422,Zm00001d017422,Zm00001d017422,Homeobox-leucine zipper protein ATHB-6
2.642096639,6.99265E-05,0.007681223,Zm00001d022155,Zm00001d022155,Zm00001d022155,Leucine-rich repeat transmembrane protein kinase 1-like protein
2.607395172,0.001792087,0.02734654,Zm00001d045888,Zm00001d045888,Zm00001d045888,Pollen-specific arabinogalacta protein BAN102
2.581606805,9.45887E-06,0.004132896,Zm00001d022211,Zm00001d022211,Zm00001d022211,Developmentally-regulated GTP-binding protein 1
2.566023724,9.03385E-05,0.008024042,Zm00001d050834,Zm00001d050834,Zm00001d050834,Putative homeobox DNA-binding and leucine zipper domain family protein
2.560333133,7.90713E-05,0.007754513,Zm00001d027520,Zm00001d027520,Zm00001d027520,expansin-like6
2.559834242,0.000206473,0.010503695,Zm00001d023945,Zm00001d023945,Zm00001d023945,Pentatricopeptide repeat-containing protein  chloroplastic
2.550040543,0.013199125,0.086135882,Zm00001d016555,Zm00001d016555,Zm00001d016555,F-box/kelch-repeat protein
2.537087828,0.010816464,0.076542494,Zm00001d049111,Zm00001d049111,Zm00001d049111,Cysteine proteinase inhibitor 5
2.537061095,0.00338046,0.038320323,Zm00001d004344,Zm00001d004344,Zm00001d004344,Natterin-4
2.537061095,0.00338046,0.038320323,Zm00001d004346,Zm00001d004346,Zm00001d004346,Natterin-4
2.536756366,0.000142845,0.009148986,Zm00001d029391,Zm00001d029391,Zm00001d029391,Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic
2.534283876,1.66903E-05,0.005010141,Zm00001d040656,Zm00001d040656,Zm00001d040656,sugars will eventually be exported transporter17a
2.532562256,0.002050186,0.029306777,Zm00001d018725,Zm00001d018725,Zm00001d018725,transducin family protein / WD-40 repeat family protein
2.531196594,0.001664605,0.026353017,Zm00001d013501,Zm00001d013501,Zm00001d013501,Putative ABC1 protein
2.520724535,0.000107849,0.008274588,Zm00001d031421,Zm00001d031421,Zm00001d031421,Thylakoid lumenal 19 kDa protein
2.512640655,0.005006426,0.04807636,Zm00001d044399,Zm00001d044399,Zm00001d044399,photosystem II light harvesting complex gene B1B2
2.505598068,0.000143316,0.009148986,Zm00001d050347,Zm00001d050347,Zm00001d050347,Annexin
2.503559589,3.11168E-05,0.005837848,Zm00001d050403,Zm00001d050403,Zm00001d050403,Chlorophyll a-b binding protein 4
2.499520481,0.000188856,0.010063099,Zm00001d043789,Zm00001d043789,Zm00001d043789,Glutathione S-transferase GSTU6
2.496174872,0.000594081,0.016722711,Zm00001d020332,Zm00001d020332,Zm00001d020332,Ubiquitin-protein ligase
2.473671198,0.00025935,0.011286959,Zm00001d027443,Zm00001d027443,Zm00001d027443,hydroxylase8
2.467697144,0.000117739,0.008448871,Zm00001d052194,Zm00001d052194,Zm00001d052194,23.6 kDa heat shock protein mitochondrial
2.437977791,1.44143E-06,0.003458748,Zm00001d027934,Zm00001d027934,Zm00001d027934,leucine-rich transmembrane protein kinase1
2.431973457,5.26605E-05,0.006902745,Zm00001d016542,Zm00001d016542,Zm00001d016542,FAD/NAD(P)-binding oxidoreductase
2.430215836,2.61481E-05,0.005558621,Zm00001d052063,Zm00001d052063,Zm00001d052063,Transmembrane amino acid transporter family protein
2.426970005,5.44393E-05,0.007065248,Zm00001d031749,Zm00001d031749,Zm00001d031749,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
2.426484585,9.24256E-06,0.004130163,Zm00001d042695,Zm00001d042695,Zm00001d042695,Serine/threonine-protein kinase SRK2A
2.424260199,0.000799013,0.019056333,Zm00001d034641,Zm00001d034641,Zm00001d034641,ZFP16-2
2.413406134,9.53867E-05,0.008077398,Zm00001d028654,Zm00001d028654,Zm00001d028654,Trifunctional UDP-glucose 46-dehydratase/UDP-4-keto-6-deoxy-D-glucose 35-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2
2.408306599,0.005773475,0.052324525,Zm00001d030557,Zm00001d030557,Zm00001d030557,Alanine aminotransferase 2 mitochondrial
2.403650045,0.000503282,0.015489183,Zm00001d004746,Zm00001d004746,Zm00001d004746,T-complex protein 11
2.399487019,0.000163952,0.009579849,Zm00001d019518,Zm00001d019518,Zm00001d019518,Photosystem I reaction center subunit IV A
2.394821167,0.001790781,0.02734654,Zm00001d042114,Zm00001d042114,Zm00001d042114,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
2.374641567,0.001354436,0.023958085,Zm00001d038563,Zm00001d038563,Zm00001d038563,EID1-like F-box protein 3
2.367131948,0.000184214,0.010063099,Zm00001d039851,Zm00001d039851,Zm00001d039851,DNA-directed RNA polymerase II subunit 1
2.361454546,2.09354E-05,0.005517011,Zm00001d051043,Zm00001d051043,Zm00001d051043,Acetolactate synthase/ amino acid binding protein
2.360047817,6.49301E-06,0.003647585,Zm00001d049742,Zm00001d049742,Zm00001d049742,protein%3B Ternary complex factor-like
2.355228186,2.70557E-05,0.005629304,Zm00001d029365,Zm00001d029365,Zm00001d029365,Non-specific lipid transfer protein-like 1
2.350981712,0.000748584,0.018592384,Zm00001d018981,Zm00001d018981,Zm00001d018981,histone1a
2.34927699,0.005376545,0.050087378,Zm00001d046471,Zm00001d046471,Zm00001d046471,Multiprotein-bridging factor 1c
2.348847449,0.000154432,0.009415328,Zm00001d039566,Zm00001d039566,Zm00001d039566,17.5 kDa class II heat shock protein
2.345948458,9.27123E-05,0.008065971,Zm00001d014564,Zm00001d014564,Zm00001d014564,Oxygen-evolving enhancer protein 1-1 chloroplastic
2.338783503,0.000118676,0.008451109,Zm00001d013725,Zm00001d013725,Zm00001d013725,gibberellin 20-oxidase4
2.326165438,2.4235E-05,0.005558621,Zm00001d023799,Zm00001d023799,Zm00001d023799,proline-rich family protein
2.322219849,3.32397E-05,0.005950918,Zm00001d038984,Zm00001d038984,Zm00001d038984,photosystem I H subunit1
2.317151189,0.001157541,0.022197877,Zm00001d004700,Zm00001d004700,Zm00001d004700,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
2.307989538,5.2644E-05,0.006902745,Zm00001d037151,Zm00001d037151,Zm00001d037151,Erwinia induced protein 1
2.304977655,0.000203961,0.01044041,Zm00001d048702,Zm00001d048702,Zm00001d048702,benzoxazinone synthesis3
2.300703287,0.002639075,0.033534168,Zm00001d015227,Zm00001d015227,Zm00001d015227,chaperone binding%3BATPase activators
2.297098875,1.92899E-06,0.0036206,Zm00001d024414,Zm00001d024414,Zm00001d024414,Seed maturation protein
2.294035271,0.000663986,0.017642278,Zm00001d008872,Zm00001d008872,Zm00001d008872,Putative AP2/EREBP transcription factor superfamily protein
2.285963297,0.007559223,0.061303134,Zm00001d021628,Zm00001d021628,Zm00001d021628,senescence regulator
2.272117078,7.40309E-05,0.007681223,Zm00001d009626,Zm00001d009626,Zm00001d009626,protein phosphatase homolog9
2.269918814,0.001487122,0.025041201,Zm00001d038364,Zm00001d038364,Zm00001d038364,Putative oxidoreductase%252C aldo/keto reductase family protein
2.265762329,0.005169196,0.048957966,Zm00001d017033,Zm00001d017033,Zm00001d017033,Glycine-rich cell wall structural protein
2.26380682,0.000689853,0.017930746,Zm00001d003306,Zm00001d003306,Zm00001d003306,Bowman-Birk type bran trypsin inhibitor
2.262379169,0.000361463,0.0131857,Zm00001d024403,Zm00001d024403,Zm00001d024403,OSJNBa0041A02.21 protein%3B  protein
2.262159109,8.16126E-05,0.007840703,Zm00001d018090,Zm00001d018090,Zm00001d018090,annexin2
2.258385181,0.002423964,0.032012583,Zm00001d012956,Zm00001d012956,Zm00001d012956,Fes1A
2.251664639,2.13122E-05,0.005550213,Zm00001d029087,Zm00001d029087,Zm00001d029087,Sucrose synthase 3
2.248326063,0.005947488,0.053142248,Zm00001d003154,Zm00001d003154,Zm00001d003154,Protein CHROMOSOME TRANSMISSION FIDELITY 7
2.239211321,0.002978039,0.035933852,Zm00001d011285,Zm00001d011285,Zm00001d011285,photosystem II light harvesting complex gene B1B2
2.23815012,0.000112154,0.008274588,Zm00001d027999,Zm00001d027999,Zm00001d027999,2-carboxy-14-naphthoquinone phytyltransferase chloroplastic
2.236206532,1.54331E-05,0.004986391,Zm00001d029091,Zm00001d029091,Zm00001d029091,sucrose synthase2
2.231170904,0.00109975,0.021648663,Zm00001d038046,Zm00001d038046,Zm00001d038046,Rho GDP-dissociation inhibitor 1
2.230289936,5.11887E-06,0.0036206,Zm00001d044763,Zm00001d044763,Zm00001d044763,Salicylate/benzoate carboxyl methyltransferase
2.228842258,2.44995E-06,0.0036206,Zm00001d021254,Zm00001d021254,Zm00001d021254,hAT dimerisation domain-containing protein / transposase-related
2.228771925,0.000152042,0.00934203,Zm00001d016662,Zm00001d016662,Zm00001d016662,Peptidyl-prolyl cis-trans isomerase CYP19-1
2.227797508,4.28809E-05,0.006495495,Zm00001d026223,Zm00001d026223,Zm00001d026223,Hydrogen peroxide-induced 1
2.220535278,0.000150286,0.009305779,Zm00001d023529,Zm00001d023529,Zm00001d023529,abscisic acid stress ripening1
2.210941553,8.78902E-05,0.007976787,Zm00001d029053,Zm00001d029053,Zm00001d029053,Lung seven transmembrane receptor family protein
2.209210873,1.86687E-05,0.005271224,Zm00001d022492,Zm00001d022492,Zm00001d022492,Protein kinase superfamily protein
2.203053594,8.5545E-06,0.004053494,Zm00001d041679,Zm00001d041679,Zm00001d041679,UDP-D-apiose/UDP-D-xylose synthase 2
2.201441705,0.002794372,0.034741029,Zm00001d012079,Zm00001d012079,Zm00001d012079,EPIDERMAL PATTERNING FACTOR-like protein 9
2.199859142,9.61835E-05,0.008077398,Zm00001d007901,Zm00001d007901,Zm00001d007901,Cylicin-1
2.197391272,0.000176692,0.009892058,Zm00001d031969,Zm00001d031969,Zm00001d031969,RNA-binding protein CP31B chloroplastic
2.192167282,0.002940122,0.035761628,Zm00001d023664,Zm00001d023664,Zm00001d023664,ABA-responsive protein
2.190909386,0.000129476,0.008718364,Zm00001d018076,Zm00001d018076,Zm00001d018076,Copper ion binding protein
2.189895034,0.00057385,0.016495671,Zm00001d033451,Zm00001d033451,Zm00001d033451,Type IV inositol polyphosphate 5-phosphatase 7
2.184360027,1.09531E-05,0.004395089,Zm00001d007341,Zm00001d007341,Zm00001d007341,HVA22-like protein e
2.17286253,0.000553854,0.016205163,Zm00001d031128,Zm00001d031128,Zm00001d031128,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1
2.167954922,0.00019251,0.010176823,Zm00001d045864,Zm00001d045864,Zm00001d045864,65-kDa microtubule-associated protein 1
2.164328814,2.19208E-06,0.0036206,Zm00001d031228,Zm00001d031228,Zm00001d031228,Protein yippee-like
2.156707287,3.10256E-05,0.005837848,Zm00001d014744,Zm00001d014744,Zm00001d014744,Uncharacterised protein family (UPF0114)
2.156241626,0.000311757,0.012294821,Zm00001d019593,Zm00001d019593,Zm00001d019593,Probable carbohydrate esterase
2.156226873,0.000974461,0.020528462,Zm00001d046281,Zm00001d046281,Zm00001d046281,CCAAT-binding factor
2.155733228,0.001532163,0.025476022,Zm00001d009119,Zm00001d009119,Zm00001d009119,RING/FYVE/PHD zinc finger superfamily protein
2.155473709,2.78422E-05,0.005702438,Zm00001d037453,Zm00001d037453,Zm00001d037453,Reticulon
2.154691458,7.43999E-05,0.007681223,Zm00001d039619,Zm00001d039619,Zm00001d039619,60S ribosomal protein L18A
2.141530991,0.000279135,0.01172726,Zm00001d048135,Zm00001d048135,Zm00001d048135,Probable E3 ubiquitin-protein ligase RHY1A
2.139358044,0.00061319,0.016993003,Zm00001d019898,Zm00001d019898,Zm00001d019898,Plastid-specific 30S ribosomal protein 2
2.138320386,3.3286E-05,0.005950918,Zm00001d038358,Zm00001d038358,Zm00001d038358,Delta-1-pyrroline-5-carboxylate synthase B
2.135694742,0.001029091,0.020902887,Zm00001d029102,Zm00001d029102,Zm00001d029102,Dormancy-associated protein homolog 3
2.132138252,0.001104921,0.02165997,Zm00001d044142,Zm00001d044142,Zm00001d044142,siroheme uroporphyrinogen methyltransferase1
2.127022266,0.00066123,0.017614503,Zm00001d021340,Zm00001d021340,Zm00001d021340,Bifunctional nuclease 1
2.117182493,9.50979E-05,0.008077398,Zm00001d018430,Zm00001d018430,Zm00001d018430,phosphoenolpyruvate carboxylase kinase1
2.115155935,0.000140272,0.009148986,Zm00001d023713,Zm00001d023713,Zm00001d023713,Photosystem I reaction center subunit N
2.105594277,0.00905544,0.068437423,Zm00001d034673,Zm00001d034673,Zm00001d034673,Bowman-Birk type trypsin inhibitor
2.103531182,0.000293503,0.012003093,Zm00001d037816,Zm00001d037816,Zm00001d037816,C4-dicarboxylate transporter/malic acid transport protein isoform 1%253B C4-dicarboxylate transporter/malic acid transport protein isoform 2
2.096837997,0.010358235,0.074629396,Zm00001d045460,Zm00001d045460,Zm00001d045460,Protein EXORDIUM-like 3
2.096589088,0.002659706,0.03368447,Zm00001d045042,Zm00001d045042,Zm00001d045042,Sucrose synthase 1
2.093210697,1.26253E-05,0.004513969,Zm00001d042585,Zm00001d042585,Zm00001d042585,Protein root UVB sensitive 6
2.092091382,0.000451771,0.014796454,Zm00001d039935,Zm00001d039935,Zm00001d039935,heat shock protein17.2
2.090889812,8.45E-05,0.007903162,Zm00001d004506,Zm00001d004506,Zm00001d004506,Cytochrome P450 71D7
2.090573549,6.09196E-06,0.003644525,Zm00001d013256,Zm00001d013256,Zm00001d013256,Brittle stalk-2-like protein 4
2.081630349,1.35019E-05,0.004616953,Zm00001d050018,Zm00001d050018,Zm00001d050018,ABSCISIC ACID-INSENSITIVE 5-like protein 5
2.076522112,0.001352536,0.023958085,Zm00001d038682,Zm00001d038682,Zm00001d038682,PLASMODESMATA CALLOSE-BINDING PROTEIN 2
2.064607143,0.000227219,0.010663118,Zm00001d047814,Zm00001d047814,Zm00001d047814,Catalytic/ hydrolase
2.050841331,2.48747E-05,0.005558621,Zm00001d007857,Zm00001d007857,Zm00001d007857,Oxygen-evolving enhancer protein 2-1 chloroplastic
2.043105125,0.00044493,0.014753481,Zm00001d034479,Zm00001d034479,Zm00001d034479,histone one (H1)
2.042542696,1.34744E-05,0.004616953,Zm00001d028992,Zm00001d028992,Zm00001d028992,Thioredoxin-like 1-1 chloroplastic
2.039056778,0.000123655,0.008549813,Zm00001d027630,Zm00001d027630,Zm00001d027630,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
2.033007145,0.000560105,0.01635157,Zm00001d039848,Zm00001d039848,Zm00001d039848,NAD(P)-binding Rossmann-fold superfamily protein
2.031959057,4.54177E-05,0.006571333,Zm00001d014467,Zm00001d014467,Zm00001d014467,Peroxidase 3
2.027668595,0.006151833,0.054204504,Zm00001d019926,Zm00001d019926,Zm00001d019926,Enoyl-[acyl-carrier-protein] reductase [NADH] chloroplastic
2.021715641,0.005372588,0.050076243,Zm00001d022132,Zm00001d022132,Zm00001d022132,inter-alpha-trypsin inhibitor heavy chain-related
2.021098614,0.004823266,0.0470412,Zm00001d006540,Zm00001d006540,Zm00001d006540,Oxygen-evolving enhancer protein 3-1
2.009579897,0.013415409,0.086991398,Zm00001d026454,Zm00001d026454,Zm00001d026454,WUSCHEL-related homeobox 4
2.009123325,2.51553E-05,0.005558621,Zm00001d022069,Zm00001d022069,Zm00001d022069,Ninja-family protein 5
1.999194622,9.45561E-05,0.008077398,Zm00001d016070,Zm00001d016070,Zm00001d016070,phosphate regulatory homolog1
1.998347044,0.001959251,0.028776732,Zm00001d043538,Zm00001d043538,Zm00001d043538,BURP domain protein RD22
